AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BEDROOM,SALES_PRICE
Adyar,904,52,1,1,3,AdjLand,No,Commercial,ELO,No Access,RM,3.8,2.6,11601400
Chrompet,1198,105,1,1,3,Normal Sale,No,Others,AllPub,No Access,RH,3.9,4.4,8249260
Karapakkam,931,16,1,1,3,AdjLand,No,Commercial,AllPub,Paved,A,4,2.4,6944500
Karapakkam,1290,86,1,1,3,AdjLand,Yes,House,AllPub,Paved,RH,3.1,4.1,7745000
Karapakkam,507,49,1,1,2,AbNormal,Yes,House,ELO,Gravel,RH,2.6,4.6,5728000
KK Nagar,2492,113,4,2,6,AbNormal,No,Commercial,NoSeWa,Paved,RL,4.3,3.8,18725520
Karapakkam,851,105,1,1,2,Partial,No,House,AllPub,No Access,C,4,2.5,3572250
T Nagar,1882,189,2,1,5,AbNormal,Yes,Others,ELO,Gravel,RM,3.9,4.7,16051580
Anna Nagar,1710,15,1,1,4,Normal Sale,Yes,Commercial,AllPub,Gravel,RH,2.7,2.2,20215970
Karapakkam,1412,28,2,2,4,AdjLand,No,House,ELO,Gravel,RL,4.1,3.1,8379000
Adyar,779,51,1,1,2,Normal Sale,No,House,NoSewr ,No Access,C,3.6,2.4,5290635
T Nagar,1655,19,1,1,4,AbNormal,No,Others,AllPub,Gravel,RH,2.1,3.9,12548930
Karapakkam,940,167,1,1,3,AdjLand,No,House,AllPub,Paved,RH,2.7,4.1,5857750
KK Nagar,1667,126,2,1,4,Partial,Yes,House,NoSeWa,Paved,RM,4.8,5,10729700
KK Nagar,1926,49,3,2,5,Family,Yes,Commercial,NoSeWa,Paved,RM,3.1,4.7,17006780
Adyar,718,75,1,1,2,Partial,Yes,Others,ELO,No Access,C,2,3.4,5570050
Karapakkam,545,154,1,1,2,Partial,No,Others,ELO,No Access,RH,3.1,3.4,3854375
Karapakkam,1249,25,1,1,3,AdjLand,Yes,Others,ELO,Gravel,RH,2.8,3.5,8594875
T Nagar,1894,187,2,1,5,Partial,Yes,House,NoSewr ,Gravel,RL,2,4.4,13549250
Karapakkam,1469,200,2,2,4,AbNormal,No,Commercial,NoSewr ,No Access,C,4.7,2.4,9480750
Adyar,916,32,1,1,3,Normal Sale,Yes,House,ELO,No Access,A,3.6,3.9,5847520
Chrompet,934,11,1,1,3,AdjLand,Yes,House,NoSeWa,Paved,RM,3.4,3.8,9710900
Karapakkam,1691,100,2,2,4,AbNormal,No,House,NoSeWa,Gravel,RM,4,3.5,9398750
Karapakkam,1236,36,1,1,3,Normal Sale,No,Commercial,NoSewr ,Paved,I,3.3,2,8806250
T Nagar,1577,23,1,1,4,Partial,Yes,Others,NoSeWa,Paved,RH,3.8,3.9,12087330
Anna Nagar,1915,13,2,1,5,Partial,Yes,Others,NoSeWa,Gravel,RH,4.6,4.5,14175620
Anna Nagar,1600,154,1,1,4,Family,Yes,House,ELO,Gravel,RH,3.9,2.5,11920820
Velachery,1579,58,2,1,4,AbNormal,Yes,Commercial,ELO,Paved,I,4.6,2.3,13364730
Adyar,1260,89,2,2,4,Partial,No,Others,NoSeWa,No Access,A,3.8,4.5,6922975
Adyar,1021,176,1,1,3,Normal Sale,No,Commercial,NoSeWa,Paved,I,3.5,2.5,11673175
KK Nagar,2174,48,3,2,5,Family,Yes,Others,AllPub,Paved,RM,2.9,2.3,13069740
Anna Nagar,1589,39,1,1,4,Partial,No,Others,AllPub,Gravel,RL,2.1,4.5,12212350
Adyar,668,177,1,1,2,AbNormal,Yes,Commercial,NoSeWa,Gravel,I,4.9,3.5,10283575
Velachery,1724,116,2,1,4,AbNormal,Yes,House,ELO,No Access,RL,3.8,2,8956480
Adyar,890,116,1,1,3,AbNormal,Yes,House,NoSewr ,Paved,C,2.5,5,7187350
Adyar,1218,51,2,2,4,Normal Sale,No,Commercial,AllPub,No Access,I,4.7,3.3,12574850
Anna Nagar,1792,41,1,1,4,Family,Yes,House,ELO,Gravel,RM,2.7,2,13906270
Karapakkam,1378,192,2,2,4,AdjLand,No,Others,NoSewr ,Gravel,RM,4.2,2.6,9917500
Karapakkam,898,72,1,1,3,Partial,Yes,Commercial,NoSewr ,Paved,RH,2.4,2.1,8629750
Anna Nagar,1928,148,2,1,5,Partial,No,House,AllPub,No Access,RH,3.4,2.4,11667050
Chrompet,1233,24,2,1,4,AbNormal,No,House,NoSeWa,Gravel,RM,2.2,4.6,9817150
Velachery,1618,100,2,1,4,AdjLand,Yes,Others,NoSewr ,Paved,C,4,4.1,9263050
Karapakkam,627,49,1,1,2,Family,No,House,NoSewr ,Gravel,RM,4.3,2.5,6587500
Velachery,1563,43,2,1,4,Family,No,House,NoSeWa,Gravel,RM,4.7,2.6,9799360
Karapakkam,1693,187,2,2,4,Normal Sale,Yes,Commercial,NoSewr ,Gravel,C,3.9,3.9,12801500
T Nagar,1522,85,1,1,4,Partial,No,Commercial,AllPub,Gravel,RL,4.2,3.5,17454510
Adyar,1090,171,1,1,3,Partial,Yes,Others,NoSeWa,Gravel,RH,3.1,2.3,9832420
Chrompet,1085,149,1,1,3,AbNormal,Yes,Commercial,NoSewr ,Gravel,RL,2.8,4.6,14363500
T Nagar,1687,73,1,1,4,AbNormal,No,Others,NoSewr ,Paved,RH,4.6,2,12476770
Adyar,692,62,1,1,2,Normal Sale,Yes,Commercial,AllPub,Paved,RH,4.1,5,10381355
T Nagar,1518,145,1,1,4,Family,Yes,Commercial,AllPub,Paved,RH,3.7,4.1,17600240
Adyar,1025,125,1,1,3,Partial,No,Commercial,NoSeWa,Paved,I,2.5,2.7,10934875
KK Nagar,2170,121,3,2,5,Family,Yes,House,NoSewr ,Gravel,RL,3.7,4,12372160
Chrompet,969,70,1,1,3,Family,Yes,Commercial,ELO,No Access,RH,3.4,4,11248750
KK Nagar,1546,129,2,1,4,AbNormal,No,Commercial,AllPub,Gravel,RM,2.5,2.8,14241140
KK Nagar,1709,6,2,1,4,AbNormal,Yes,House,NoSeWa,Paved,RL,4.3,2,10160600
T Nagar,1659,103,1,1,4,AdjLand,Yes,Others,NoSeWa,No Access,RL,3.8,3.8,13539080
Chrompet,755,8,1,1,2,Normal Sale,No,Commercial,ELO,Gravel,RM,3.8,2.7,10727750
Adyar,1182,50,1,1,3,Normal Sale,Yes,House,AllPub,No Access,RL,3.2,3.1,9867055
Adyar,735,67,1,1,2,AdjLand,No,Commercial,NoSeWa,No Access,RH,2.7,4,9478710
Chrompet,1089,0,1,1,3,Normal Sale,Yes,House,ELO,Paved,RL,2.7,3.1,9050200
Velachery,1534,6,2,1,4,Partial,Yes,Others,ELO,Paved,C,4.7,2.3,7904210
Anna Nagar,1622,147,1,1,4,Family,Yes,House,ELO,Gravel,RL,4.4,4.2,13063450
KK Nagar,2198,71,3,2,5,Partial,Yes,Others,NoSewr ,Gravel,RM,4.8,3.9,13584980
Chrompet,1293,34,2,1,4,Normal Sale,No,Commercial,ELO,No Access,RL,3.1,3.8,13116050
KK Nagar,1641,178,2,1,4,Partial,No,Others,AllPub,Gravel,RL,4.6,3.1,10012600
Velachery,1950,185,3,2,5,AdjLand,Yes,Others,NoSeWa,Paved,RL,5,3.4,12105920
Karapakkam,1245,106,1,1,3,Partial,No,Others,NoSeWa,Paved,A,4.1,3.5,4918375
Chrompet,905,144,1,1,3,Family,No,Others,ELO,Gravel,RH,3.8,4,7703200
KK Nagar,1496,135,2,1,4,Family,No,House,NoSewr ,Gravel,RH,3.2,2.8,8569080
Velachery,1892,38,3,2,5,AdjLand,Yes,House,ELO,Gravel,RM,3.9,4.8,12146620
Velachery,1517,40,2,1,4,Family,No,Commercial,ELO,Paved,C,4,2.9,11671620
Adyar,1034,73,1,1,3,AdjLand,Yes,Others,ELO,Gravel,C,3.8,3.5,9256740
Velachery,1755,142,2,1,4,Family,Yes,Commercial,NoSewr ,Gravel,I,4.6,3.9,14915900
Anna Nagar,1622,79,1,1,4,AdjLand,Yes,House,NoSeWa,Paved,RM,2.2,2.2,13547790
Chrompet,1092,89,1,1,3,Normal Sale,No,Others,AllPub,No Access,RH,2.4,2,8213040
Chrompet,821,34,1,1,3,AdjLand,No,House,NoSeWa,Paved,RH,3.4,2.9,7304000
KK Nagar,1694,72,2,1,4,Family,No,Others,NoSeWa,Gravel,RL,4,3.9,10390900
Anna Nagar,1809,177,2,1,5,Family,No,Commercial,AllPub,No Access,RL,3,2,19206870
Karapakkam,1401,20,2,2,4,Partial,Yes,Others,AllPub,Gravel,RL,3.8,4,9965375
Karapakkam,1470,99,2,2,4,AbNormal,No,Others,NoSewr ,No Access,RH,3.1,3.1,7207000
Chrompet,798,166,1,1,2,Partial,No,Commercial,NoSewr ,Paved,RH,2.3,3.6,9070550
Chrompet,764,137,1,1,2,Partial,No,House,ELO,No Access,RH,3.3,2.1,5670200
Chrompet,1135,50,1,1,3,AbNormal,No,Others,NoSewr ,No Access,RM,4.9,3.8,9253200
Karapakkam,939,74,1,1,3,AbNormal,No,House,ELO,No Access,I,4.9,3.3,4294000
Karapakkam,1586,59,2,2,4,Normal Sale,Yes,Commercial,NoSewr ,Gravel,RM,3.9,4.5,14316000
Chrompet,1023,44,1,1,3,Partial,Yes,House,AllPub,Paved,RM,3,3.6,9735150
Chrompet,884,75,1,1,3,Normal Sale,No,Commercial,NoSewr ,No Access,RM,2.3,2.4,11336400
Anna Nagar,1640,113,1,1,4,AdjLand,No,Commercial,ELO,No Access,RH,2.5,3.5,17701600
Adyar,622,60,1,1,2,Normal Sale,No,Others,ELO,No Access,RL,2.7,3.5,6572900
Anna Nagar,1880,90,2,1,5,Partial,Yes,House,NoSeWa,No Access,RM,3.2,4,13423020
KK Nagar,2413,166,4,2,6,AbNormal,No,Others,NoSeWa,Paved,RM,2.5,2.9,13122040
T Nagar,1649,169,1,1,4,AdjLand,No,Commercial,AllPub,Gravel,RH,2.1,4.6,18939100
Velachery,1729,144,2,1,4,Partial,Yes,Commercial,NoSewr ,Paved,A,3.3,4,12803570
T Nagar,1942,10,2,1,5,Family,No,House,NoSeWa,Gravel,RH,4.6,2.9,12330740
Chrompet,711,116,1,1,2,AdjLand,Yes,Others,NoSeWa,No Access,RL,2.6,2.8,8050270
Chrompet,885,122,1,1,3,Family,No,House,ELO,No Access,RM,4.6,2.1,7194600
KK Nagar,1688,148,2,1,4,AbNormal,Yes,House,NoSewr ,Gravel,RM,2,4.4,11412700
Adyar,1236,108,2,2,4,Family,No,Commercial,ELO,Gravel,A,3.7,4.4,12035355
Karapakkam,926,98,1,1,3,Family,No,House,ELO,Gravel,RL,4.3,2.9,6877000
KK Nagar,1686,57,2,1,4,AbNormal,No,Others,NoSeWa,Paved,RM,3.2,3.9,10346400
Karapakkam,1344,129,2,2,4,AdjLand,No,Commercial,NoSewr ,Gravel,RH,4.6,3.3,10809500
KK Nagar,1437,104,2,1,4,Family,No,Others,AllPub,Gravel,RM,3.8,2.6,10200600
Karapakkam,1430,17,2,2,4,AbNormal,Yes,Others,NoSewr ,No Access,A,4.3,3.8,6635750
Adyar,1081,85,1,1,3,Family,No,House,AllPub,No Access,C,3.5,3.2,6190150
Karapakkam,1352,1,2,2,4,Normal Sale,Yes,House,ELO,Gravel,A,3,3.5,6507250
KK Nagar,1986,109,3,2,5,Normal Sale,No,House,AllPub,Gravel,RM,4.9,4.6,11350400
Anna Nagar,1758,164,1,1,4,Partial,Yes,Commercial,AllPub,No Access,RL,3.5,4,19285540
Karapakkam,607,121,1,1,2,Normal Sale,No,Others,NoSeWa,Gravel,RL,4.2,2.2,5856625
KK Nagar,2139,136,3,2,5,Normal Sale,Yes,Others,NoSewr ,Paved,RL,2.3,2.4,12472000
KK Nagar,1488,97,2,1,4,Partial,No,Others,AllPub,Paved,RH,2.3,4.1,8441900
Velachery,1645,96,2,1,4,Partial,No,House,NoSeWa,No Access,RH,3.7,2.1,7579320
Chrompet,950,177,1,1,3,Normal Sale,Yes,Others,NoSeWa,Gravel,RL,3.7,3.4,9759000
Chrompet,928,90,1,1,3,Partial,Yes,Commercial,AllPub,Gravel,RH,2.1,3.7,12423800
Velachery,1693,145,2,1,4,Normal Sale,Yes,Commercial,NoSewr ,Paved,RM,4.1,4.1,15495760
Velachery,1873,0,3,2,5,Family,Yes,Others,ELO,No Access,RL,4.8,3.9,11022270
Adyar,721,145,1,1,2,Partial,No,Others,NoSeWa,Paved,RL,3.4,4.6,7605550
Karapakkam,1190,37,1,1,3,Family,Yes,House,NoSewr ,Gravel,RH,4.3,3.8,7967750
KK Nagar,1593,9,2,1,4,Partial,No,Others,AllPub,Paved,RH,3.2,4.2,8946800
Chrompet,786,181,1,1,2,AbNormal,Yes,Others,ELO,Gravel,RL,4.4,4.3,9244820
Chrompet,1195,93,1,1,3,AdjLand,No,Others,NoSeWa,Paved,RL,3,3.2,9821600
Velachery,1824,187,3,2,5,Normal Sale,No,House,NoSewr ,Paved,I,3.9,4.1,8549060
KK Nagar,1906,81,3,2,5,AbNormal,Yes,Commercial,NoSeWa,Paved,RH,3.7,3,15852740
Adyar,656,20,1,1,2,AbNormal,No,Commercial,AllPub,Paved,I,4.5,2.3,8757635
Chrompet,727,84,1,1,2,AbNormal,No,Others,ELO,Gravel,RM,3.1,2.5,8415990
Adyar,931,37,1,1,3,Family,Yes,Others,ELO,Paved,RM,2,4,9935595
Velachery,1898,108,3,2,5,AdjLand,Yes,Commercial,ELO,No Access,RM,3.9,4.4,16617860
Anna Nagar,1698,15,1,1,4,Family,No,House,NoSeWa,Gravel,RM,5,3.1,12412050
T Nagar,1926,193,2,1,5,AdjLand,Yes,Commercial,NoSewr ,No Access,RM,4.2,3.1,22630540
Karapakkam,1481,144,2,2,4,Partial,Yes,Commercial,AllPub,Paved,A,3.7,2.3,9901500
Anna Nagar,1506,122,1,1,4,Family,No,House,ELO,No Access,RM,3.9,2.1,10449910
Chrompet,1020,95,1,1,3,Family,No,House,NoSeWa,No Access,RM,4.2,4.1,7948600
Chrompet,889,196,1,1,3,AbNormal,No,Others,ELO,Gravel,RM,5,2,9098680
Chrompet,1015,147,1,1,3,Family,Yes,House,AllPub,Paved,RH,3.9,2,8342850
T Nagar,1682,78,1,1,4,AbNormal,No,Commercial,AllPub,Gravel,RH,3.7,3.5,18662350
Chrompet,869,39,1,1,3,Family,No,Others,NoSewr ,No Access,RM,4.3,3.3,8172630
Karapakkam,1445,20,2,2,4,Family,No,House,NoSeWa,No Access,I,4.9,2.5,5856500
Anna Nagar,1919,178,2,1,5,Partial,Yes,House,NoSeWa,Gravel,RM,2.4,3.3,14704160
Adyar,1243,141,2,2,4,Normal Sale,Yes,Commercial,NoSeWa,Paved,C,3.9,2.2,13360440
Karapakkam,857,158,1,1,2,Normal Sale,No,House,ELO,Paved,I,3.6,3.4,4928250
Karapakkam,1055,174,1,1,3,AdjLand,Yes,Others,NoSeWa,Gravel,I,3.7,4.8,7315125
KK Nagar,1778,94,3,2,5,Family,No,Others,NoSewr ,Gravel,RL,3.1,4.4,10998320
Karapakkam,851,124,1,1,2,AdjLand,No,Others,ELO,Paved,A,3.8,2.6,3936375
Chrompet,1021,82,1,1,3,Partial,Yes,Others,NoSewr ,No Access,RL,2,4.6,9201770
KK Nagar,2203,76,3,2,5,AbNormal,Yes,Commercial,NoSewr ,Paved,RL,2.9,4,17891240
Karapakkam,613,81,1,1,2,Family,No,Commercial,NoSewr ,No Access,I,4.6,2.3,5144500
Adyar,738,69,1,1,2,Partial,No,Commercial,NoSewr ,No Access,I,2.4,5,8312670
Karapakkam,1489,177,2,2,4,AdjLand,No,House,ELO,Gravel,RH,4.4,4,8007250
Karapakkam,795,73,1,1,2,AbNormal,Yes,House,NoSewr ,Gravel,RM,3.4,4.9,8479250
Velachery,1909,11,3,2,5,Family,Yes,Others,AllPub,Gravel,A,4.6,5,10129160
Chrompet,1252,190,2,1,4,Family,No,House,AllPub,No Access,RM,3.6,4.6,9482200
Karapakkam,1077,144,1,1,3,AbNormal,No,Commercial,ELO,Paved,RM,3.3,4.2,9846750
KK Nagar,1524,73,2,1,4,Normal Sale,No,Others,NoSewr ,Paved,RH,3.6,2.8,8675820
Chrompet,1049,36,1,1,3,Partial,Yes,House,ELO,Gravel,RM,4.2,3.4,10262450
Velachery,1780,194,2,1,4,AbNormal,No,Others,AllPub,Gravel,C,4.7,2.9,8671050
Chrompet,946,14,1,1,3,AdjLand,No,Commercial,ELO,No Access,RL,3.8,4.5,11165550
Chrompet,906,116,1,1,3,Partial,Yes,House,NoSewr ,Gravel,RM,3.2,3.2,9464800
KK Nagar,2344,71,4,2,6,AbNormal,No,Commercial,NoSeWa,Gravel,RM,4.9,4.4,18849880
Adyar,929,76,1,1,3,AdjLand,Yes,Others,NoSeWa,Paved,RH,2.4,2.7,9480425
Anna Nagar,1843,158,2,1,5,AdjLand,No,House,ELO,No Access,RL,3.9,3.3,12264750
Anna Nagar,1918,187,2,1,5,Partial,Yes,Commercial,AllPub,Gravel,RL,3.2,2.3,21875050
KK Nagar,1507,54,2,1,4,Normal Sale,Yes,Commercial,AllPub,Paved,RH,3.2,3,13538580
KK Nagar,1499,89,2,1,4,Family,No,House,AllPub,Gravel,RH,2.5,4.6,8876320
KK Nagar,1526,64,2,1,4,Normal Sale,Yes,Commercial,AllPub,Paved,RH,4.1,4.5,13645040
Anna Nagar,1855,82,2,1,5,AbNormal,Yes,Commercial,NoSewr ,Paved,RH,3.3,4.8,20996200
Karapakkam,1627,39,2,2,4,Normal Sale,Yes,Others,ELO,Paved,RH,4.1,2.5,9071125
Velachery,1846,28,3,2,5,AbNormal,No,House,AllPub,Gravel,RM,3.6,2,10815830
KK Nagar,2019,65,3,2,5,AbNormal,Yes,Others,NoSewr ,Paved,RM,3.8,3.2,12802500
Karapakkam,1578,153,2,2,4,Normal Sale,Yes,Others,AllPub,Gravel,I,4.3,3.4,9532500
Velachery,1780,115,2,1,4,Family,Yes,Commercial,NoSeWa,No Access,C,2.8,2.5,13346700
Karapakkam,662,148,1,1,2,Partial,No,Commercial,NoSeWa,No Access,C,4.7,2.5,4356500
Chrompet,1005,17,1,1,3,Family,No,Commercial,NoSewr ,Gravel,RL,2.2,4.9,12257100
Karapakkam,839,102,1,1,2,Partial,No,House,NoSeWa,Paved,C,4.6,2.3,4100500
Anna Nagar,1698,76,1,1,4,Partial,No,House,AllPub,No Access,RM,4.7,4.3,11527430
Adyar,878,16,1,1,3,Partial,Yes,House,NoSewr ,Paved,A,5,5,6452785
Chrompet,835,77,1,1,3,Partial,Yes,House,ELO,Paved,RM,3.8,3,8434750
Chrompet,911,84,1,1,3,Partial,Yes,Others,ELO,No Access,RH,3.8,2,7427820
Velachery,1796,176,2,1,4,AdjLand,Yes,House,ELO,No Access,RH,4.8,3.8,9105350
Karapakkam,1004,182,1,1,3,AdjLand,No,Others,ELO,No Access,C,4.9,3.1,4721500
Anna Nagar,1694,86,1,1,4,Normal Sale,No,Others,NoSeWa,Paved,RL,2.6,2.4,12575010
Karapakkam,1244,50,1,1,3,AbNormal,Yes,Others,AllPub,Gravel,I,2.5,2.6,7952750
Karapakkam,588,163,1,1,2,Partial,No,Others,AllPub,Paved,RL,4.9,3.5,5705500
KK Nagar,2342,69,4,2,6,AdjLand,Yes,House,NoSewr ,Paved,RL,4.1,2.6,12898740
Velachery,1835,88,3,2,5,Normal Sale,No,Others,AllPub,Paved,RL,4.7,2.1,10722580
Anna Nagar,1977,84,2,1,5,Partial,Yes,House,AllPub,Gravel,RL,4.6,3.9,14102960
KK Nagar,1961,104,3,2,5,AbNormal,Yes,Commercial,NoSeWa,Gravel,RM,2,3.2,17612900
Velachery,1517,82,2,1,4,Normal Sale,Yes,House,NoSewr ,No Access,A,3.2,3.8,7146890
KK Nagar,2409,103,4,2,6,Partial,Yes,Others,NoSeWa,Gravel,RL,4.3,2,13476480
Velachery,1864,187,3,2,5,Partial,No,Commercial,ELO,Gravel,RH,3.2,2.8,15100560
Velachery,1643,52,2,1,4,Family,Yes,Commercial,AllPub,Paved,RM,4.8,2.4,15599020
Adyar,1015,76,1,1,3,Family,Yes,Commercial,NoSewr ,No Access,C,4.6,2.3,11224620
Anna Nagar,1700,135,1,1,4,Normal Sale,Yes,Others,NoSewr ,No Access,RH,4.3,2.4,12477040
Karapakkam,624,34,1,1,2,Family,No,Commercial,ELO,No Access,C,4.4,3,4396250
Chrompet,980,84,1,1,3,Normal Sale,No,Commercial,NoSewr ,Paved,RL,3,4.6,11900750
Karapakkam,1003,196,1,1,3,AbNormal,Yes,Commercial,NoSeWa,Gravel,RH,2.5,4.4,10090000
Adyar,1072,66,1,1,3,Family,Yes,House,NoSeWa,No Access,A,2.3,2.3,6607690
Karapakkam,808,119,1,1,2,AdjLand,No,House,NoSeWa,Gravel,C,3.1,3,4752250
Chrompet,1027,131,1,1,3,Normal Sale,No,House,ELO,Paved,RH,2.8,3.3,7441350
Karapakkam,696,84,1,1,2,Normal Sale,No,House,NoSeWa,Gravel,RL,3.5,3.6,6441250
Velachery,1716,86,2,1,4,Family,Yes,House,ELO,Paved,RL,2.1,2.2,10359860
Velachery,1878,18,3,2,5,Family,No,Commercial,AllPub,Paved,C,5,4.8,14328720
KK Nagar,1699,98,2,1,4,Normal Sale,Yes,Others,NoSeWa,Gravel,RL,4.3,2.4,11444100
KK Nagar,1626,188,2,1,4,AbNormal,No,House,AllPub,Paved,RM,2.9,2.7,9680280
KK Nagar,1730,200,2,1,4,Normal Sale,No,Commercial,NoSewr ,Gravel,RL,2.1,3.5,14739360
Chrompet,996,78,1,1,3,Family,No,Others,ELO,Gravel,RL,4.1,2.6,8939620
Chrompet,1277,111,2,1,4,AdjLand,Yes,Commercial,AllPub,No Access,RM,4,3.4,15710400
Chrompet,906,64,1,1,3,Normal Sale,No,Commercial,NoSeWa,Paved,RH,3.2,2.9,10226600
Anna Nagar,1976,112,2,1,5,Partial,No,House,NoSeWa,Paved,RL,5,2.2,12300050
Velachery,1776,120,2,1,4,Normal Sale,Yes,House,NoSeWa,Paved,RH,4.9,3.4,9989170
Karapakkam,1402,112,2,2,4,Normal Sale,No,House,NoSeWa,Gravel,I,3.7,5,6966500
Chrompet,1160,138,1,1,3,AdjLand,Yes,Others,AllPub,No Access,RH,4.4,2.7,9463900
Velachery,1957,134,3,2,5,Normal Sale,Yes,Commercial,ELO,No Access,I,4.6,3.1,15199450
T Nagar,1887,48,2,1,5,AdjLand,No,Commercial,NoSewr ,No Access,RL,2.3,3.3,20499450
Velachery,1859,142,3,2,5,Normal Sale,Yes,House,ELO,Paved,RH,4.6,4.4,9925210
Chrompet,747,168,1,1,2,Family,Yes,Commercial,AllPub,No Access,RM,4.9,2.7,11223550
Adyar,985,159,1,1,3,Partial,Yes,House,NoSeWa,Paved,C,3.6,2.1,7379505
Chrompet,1024,77,1,1,3,Normal Sale,Yes,Commercial,AllPub,No Access,RH,3.4,2.7,12091400
Velachery,1600,148,2,1,4,Family,Yes,Others,ELO,Paved,RL,2.9,4.9,10530200
Chrompet,1276,141,2,1,4,Normal Sale,No,Others,NoSeWa,Paved,RL,3.8,3.8,9604120
Chrompet,1159,90,1,1,3,Family,Yes,House,ELO,Gravel,RH,4.3,2.6,9062800
Karapakkam,1024,142,1,1,3,AbNormal,Yes,House,NoSeWa,No Access,C,3.4,4.9,4748500
